,Número Licitação,Código UG,Nome UG,Código Modalidade Compra,Modalidade Compra,Número Processo,Objeto,Situação Licitação,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,Município,Data Resultado Compra,Data Abertura,total,tipo,TAG
718,762020,155019,HOSPITAL UNIVERSITARIO JULIO MULLER,-99,Pregão - Registro de Preço,23532002430202013,Objeto: Pregão Eletrônico -  Intenção de Registro de Preços para futura e eventual aquisição de Materiais e Insumos Oftalmológicos para o HUJM/EBSERH.,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,CUIABA,12/01/2021,16/11/2020,2940.0,COMPRA/SERVIÇOS,0
719,762020,168004,INDUSTRIA DE MATERIAL BELICO DO BRASIL/FPV,-99,Pregão - Registro de Preço,269/IMBEL/FPV/20,"Objeto: Pregão Eletrônico -  Aquisição de Rolamentos, para atender às necessidades de manutenção mecânica em equipamentos e  máquinas das Unidades de fabricação da Indústria de Material Bélico do Brasil   FPV",Evento de Resultado de Julgame,52000,Ministério da Defesa,52221,Indústria de Material Bélico do Brasil,PIQUETE,27/01/2021,17/12/2020,1817.1,COMPRA/SERVIÇOS,0
720,762020,254446,INSTITUTO DE TECNOLOGIA EM FARMACOS,-99,Pregão - Registro de Preço,25387100118202022,Objeto: Pregão Eletrônico -  Aquisição de Toucas Descartáveis,Publicado,36000,Ministério da Saúde,36201,Fundação Oswaldo Cruz,RIO DE JANEIRO,29/01/2021,08/09/2020,0.0,COMPRA/SERVIÇOS,0
721,762020,771300,CENTRO DE OBTENCAO DA MARINHA NO R.J.,-99,Pregão - Registro de Preço,63342000149202090,"Objeto: Pregão Eletrônico -  Objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de órteses, próteses, e materiais especiais (OPME) de material médico-cirúrgico especializado para a Clínica de Neurocirurgia do Hospital Naval Marcílio Dias (HNMD), conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.",Publicado,52000,Ministério da Defesa,52131,Comando da Marinha,RIO DE JANEIRO,22/01/2021,22/09/2020,320000.0,COMPRA/SERVIÇOS,0
722,772020,120631,BASE AEREA DE NATAL,-99,Pregão - Registro de Preço,673020275422020,Objeto: Pregão Eletrônico -  Aquisição de Tanque de asfalto estacionário (capacidade de 30.000L). PAG: 67302.027542/2020-58,Evento de Resultado de Julgame,52000,Ministério da Defesa,52111,Comando da Aeronáutica,PARNAMIRIM,04/01/2021,07/12/2020,265500.0,COMPRA/SERVIÇOS,0
723,772020,195006,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,-99,Pregão - Registro de Preço,59500001756202030,"Objeto: Pregão Eletrônico -  Prestação de serviços de execução de serviços de pavimentação com aplicação de concreto asfáltico usinado a quente (CAUQ), em vias urbanas e rurais de municípios diversos inseridos na área de atuação da Codevasf, no estado de Rio Grande do Norte - RN.",Evento de Resultado de Julgame,53000,Ministério do Desenvolvimento Regional,22203,Companhia de Desenvolvimento dos Vales do São,BRASILIA,13/01/2021,28/12/2020,28770000.0,COMPRA/SERVIÇOS,1
724,772020,399003,COMPANHIA DOCAS DO ESTADO DE SAO PAULO,-99,Pregão - Registro de Preço,275/20-51,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para aplicação e remoção de película de proteção solar em vidros, com fornecimento de materiais, nas Bases Operacionais e Gates da Guarda Portuária, conforme as especificações e condições estabelecidas no Termo de Referência.",Publicado,39000,Ministério da Infraestrutura,39000,Ministério da Infraestrutura - Unidades com v,SAO PAULO,12/01/2021,26/11/2020,4500.0,COMPRA/SERVIÇOS,0
725,782020,120631,BASE AEREA DE NATAL,-99,Pregão - Registro de Preço,67302027576202042,Objeto: Pregão Eletrônico -  Aquisição de combustível automotivo para atendimento às necessidades da Comissão de Aeroportos da Região Amazônica   COMARA para execução da Obra de Recapeamento Asfáltico de SBNT. PAG: 67302.027576/2020-42,Evento de Resultado de Julgame,52000,Ministério da Defesa,52111,Comando da Aeronáutica,PARNAMIRIM,06/01/2021,09/12/2020,44600.0,COMPRA/SERVIÇOS,0
726,782020,153028,UNIVERSIDADE FEDERAL DE ALFENAS,-99,Pregão - Registro de Preço,23087017119202066,"Objeto: Pregão Eletrônico -  Aquisição de bancadas de granito com cuba de inox, bancadas e divisórias de granito para atender as necessidades da UNIFAL-MG.",Publicado,26000,Ministério da Educação,26260,Universidade Federal de Alfenas,ALFENAS,25/01/2021,11/01/2021,9600.0,COMPRA/SERVIÇOS,0
727,782020,155011,HOSPITAL DE CLINICAS DA UFTM,-99,Pregão - Registro de Preço,23521010789/20-85,Objeto: Pregão Eletrônico -  Aquisição de Equipamentos de Proteção Individual e Coletiva para atender a Unidade de Saúde Ocupacional e Segurança do Trabalho (USOST) do Hospital de Clínicas da Universidade Federal do Triangulo Mineiro (HC-UFTM).,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,UBERABA,13/01/2021,27/10/2020,9849.6,COMPRA/SERVIÇOS,0
728,792020,926995,SECRETARIA MUNICIPAL DE SAÚDE,-99,Pregão - Registro de Preço,BEE 14608,"Objeto: Pregão Eletrônico -  Aquisição de material de consumo odontológico (brocas, dentes acrílicos, resinas acrílicas, escovas de polimento, pedra pomes, etc.), na modalidade de Registro de Preço, para atender às necessidades da Secretaria Municipal de Saúde, conforme condições e especificações constantes deste Edital e seus anexos.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97320,ESTADO DE GOIAS,Inválido,05/01/2021,04/11/2020,0.0,COMPRA/SERVIÇOS,0
729,792020,510178,SUPERINTENDENCIA REGIONAL SUDESTE I,-99,Pregão - Registro de Preço,35014197924202005,"Objeto: Pregão Eletrônico -  Registro de preços para futura aquisição de fragmentadoras com as caracteristicas: Fragmentadora de papel em partículas    Características mínimas do produto:    - capacidade mínima de 10 folhas por vez de papel A4, 75g/m2    - formato de corte: cross cut (fragmentar em partículas e não em tiras)    - potência mínima do motor: 400w    - voltagem 110    - permite a fragmentação de Clipes, Grampos, Cartão, CD/DVDs    - nível de ruíbo baixo, no máximo 65",Publicado,25000,Ministério da Economia,37202,Instituto Nacional do Seguro Social,SAO PAULO,07/01/2021,14/12/2020,66150.0,COMPRA/SERVIÇOS,0
731,802020,153028,UNIVERSIDADE FEDERAL DE ALFENAS,-99,Pregão - Registro de Preço,23087018619202015,"Objeto: Pregão Eletrônico -  Aquisição de películas adesivas com prestação do serviço de instalação/remoção em vidros, para atender necessidades da UNIFAL-MG.",Publicado,26000,Ministério da Educação,26260,Universidade Federal de Alfenas,ALFENAS,15/01/2021,14/01/2021,12200.0,COMPRA/SERVIÇOS,0
732,802020,399003,COMPANHIA DOCAS DO ESTADO DE SAO PAULO,-99,Pregão - Registro de Preço,222/20-94,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de impressão de alta qualidade, com fornecimento de produtos, visando atender às necessidades de produção de material gráfico da Santos Port Authority (SPA).",Publicado,39000,Ministério da Infraestrutura,39000,Ministério da Infraestrutura - Unidades com v,SAO PAULO,19/01/2021,07/12/2020,0.0,COMPRA/SERVIÇOS,0
733,812020,925550,SECRETARIA DE ESTADO DA SAÚDE PÚBLICA,-99,Pregão - Registro de Preço,00610230.000127/2,"Objeto: Pregão Eletrônico -  Constitui o objetivo desta licitação, o Registro de Preços de medicamentos, consignado em Ata, pelo período de 12 (doze) meses, para posterior aquisição pelo Núcleo de Demandas Judiciais da Unidade Central de Agentes Terapêuticos-UNICAT, que serão destinados ao cumprimento de Decisões Judiciais proferidas em face do Estado do Rio Grande do Norte, de acordo com as especificações, quantitativos e condições constantes deste Termo de Referência.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,94420,ESTADO DO RIO GRANDE DO NORTE,Inválido,22/01/2021,20/11/2020,0.0,COMPRA/SERVIÇOS,0
734,812020,925008,BANCO DE BRASÍLIA S/A,-99,Pregão - Registro de Preço,041.000.812/2020,"Objeto: Pregão Eletrônico -  Registro de Preços para fornecimentos de materiais de escritório, conforme condições e especificações constantes deste Edital e seus Anexos.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97400,DISTRITO FEDERAL,Inválido,08/01/2021,16/12/2020,1160.0,COMPRA/SERVIÇOS,0
735,812020,925968,TRIBUNAL DE JUSTIÇA DO EST. ESPIRITO SANTO,-99,Pregão - Registro de Preço,700424890.2020,"Objeto: Pregão Eletrônico -  REGISTRO DE PREÇOS para eventual aquisição de protetor facial (face shield) para proteção dos recursos humanos do Poder Judiciário do Estado do Espírito Santo contra o Covid-19, conforme especificações constantes do Anexo I deste Edital.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95220,ESTADO DO ESPIRITO SANTO,Inválido,13/01/2021,28/09/2020,20.0,COMPRA/SERVIÇOS,0
736,812020,926607,PREFEITURA MUNICIPAL DE GOVERNADOR VALADARES,-99,Pregão - Registro de Preço,902,"Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios dos alunos das escolas, creches e entidades cadastradas no Programa Nacional de Alimentação Escolar para o ano letivo de 2021.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,21/01/2021,23/11/2020,0.0,COMPRA/SERVIÇOS,0
737,812020,120628,BASE AEREA DE BELEM,-99,Pregão - Registro de Preço,67215044853202061,"Objeto: Pregão Eletrônico -  Contratação futura e eventual de pessoa jurídica especializada na gestão de serviços de OUTSOURCING de impressão corporativa, cópia, digitalização departamental, incluindo a disponibilização de equipamentos novos, lacrados, de primeiro uso e em linha de fabricação, os serviços de manutenção preventiva e corretiva, com a substituição de peças e suprimentos, fornecimento de insumos (incluindo papel, sistema de gerenciamento de bilhetagem com gerenciamento local de impressões.",Evento de Resultado de Julgame,52000,Ministério da Defesa,52111,Comando da Aeronáutica,BELEM,07/01/2021,10/12/2020,12264.0,COMPRA/SERVIÇOS,0
738,812020,120636,GRUPAMENTO DE APOIO DE LAGOA SANTA,-99,Pregão - Registro de Preço,67532004139202047,Objeto: Pregão Eletrônico -  Aquisição de material médico-hospitalar parte III,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,LAGOA SANTA,28/01/2021,07/12/2020,0.0,COMPRA/SERVIÇOS,0
739,812020,150247,COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,-99,Pregão - Registro de Preço,23066021254/20-54,"Objeto: Pregão Eletrônico -  Registro de Preços - 81/2020 - para eventual aquisição de REAGENTE COM COMODATO DE EQUIPAMENTO para atender as necessidades do LABORATÓRIO DE IMUNOLOGIA E BIOLOGIA MOLECULAR   LABIMUNO (ICS-UFBA), unidade integrante do Complexo Hospitalar e de Saúde/UFBA. Informações gerais: Senhores licitantes, ocorrendo divergência entre a descrição do produto constante no código SIASG (CATMAT) e no Termo de Referência (Anexo I), prevalecerá a descrição deste último.",Publicado,26000,Ministério da Educação,26232,Universidade Federal da Bahia,SALVADOR,04/01/2021,10/12/2020,0.0,COMPRA/SERVIÇOS,0
740,812020,155011,HOSPITAL DE CLINICAS DA UFTM,-99,Pregão - Registro de Preço,23521011491/20-92,"Objeto: Pregão Eletrônico -  Prestação de Serviços contínuos de coleta, transporte, tratamento e destinação final de resíduos infectantes (GRUPOS A1, A2, A3, A4, A5), Químicos (GRUPO B), perfurocortantes (GRUPO E) e, lâmpadas fluorescentes, com cessão de uso de equipamentos/ recipientes, para atender as necessidades da Empresa Brasileira de Serviços Hospitalares  EBSERH (HOSPITAL UNIVERSITÁRIO DO TRIÂNGULO MINEIRO).",Evento de Alteração Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,UBERABA,26/01/2021,06/01/2021,194388.0,COMPRA/SERVIÇOS,0
741,822020,925814,TRIBUNAL DE JUSTIÇA DO ESTADO DE TOCANTINS,-99,Pregão - Registro de Preço,20.0.000002079-7,Objeto: Pregão Eletrônico -  Contratação de empresa especializada visando aquisição de licenças de software.,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93720,ESTADO DE TOCANTINS,Inválido,18/01/2021,19/11/2020,0.0,COMPRA/SERVIÇOS,0
742,822020,926501,INSTITUTO DE GESTAO PREVIDENCIARIA - TO,-99,Pregão - Registro de Preço,2020/2483/01092,Objeto: Pregão Eletrônico -  Prestação de serviços de Monitoramento Eletrônico de Sistema de Alarme e de Circuito Fechado de Televisão   CFTV-IP.,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93720,ESTADO DE TOCANTINS,Inválido,20/01/2021,09/10/2020,85500.0,COMPRA/SERVIÇOS,0
744,822020,120644,GRUPAMENTO DE APOIO DE CURITIBA,-99,Pregão - Registro de Preço,67619000115202069,Objeto: Pregão Eletrônico -  Registro de preços para Aquisição  de Gêneros Alimentícios I.,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,CURITIBA,05/01/2021,22/09/2020,65175.0,COMPRA/SERVIÇOS,0
745,822020,153114,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,-99,Pregão - Registro de Preço,23078520326202011,Objeto: Pregão Eletrônico -  Aquisição de produtos químicos para a UFRGS.,Evento de Resultado de Julgame,26000,Ministério da Educação,26244,Universidade Federal do Rio Grande do Sul,PORTO ALEGRE,28/01/2021,14/12/2020,423.0,COMPRA/SERVIÇOS,0
746,822020,154047,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,-99,Pregão - Registro de Preço,23110026260202015,Objeto: Pregão Eletrônico -  Aquisição de equipamentos para o Hospital de Clínicas Veterinárias,Publicado,26000,Ministério da Educação,26278,Fundação Universidade Federal de Pelotas,PELOTAS,04/01/2021,24/11/2020,37170.0,COMPRA/SERVIÇOS,0
747,822020,155010,HOSPITAL UNIVERSITARIO DA UFMA,-99,Pregão - Registro de Preço,23523024436202042,"Objeto: Pregão Eletrônico -  Aquisição de produtos para saúde, do tipo: AQUISIÇÃO DE MATERIAL HOSPITALAR DE USO GERAL, CONFORME ESPECIFICAÇÕES E QUANTIDADES CONSTANTES DO ENCARTE A DO TERMO DE REFERÊNCIA   Anexo I.",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SAO LUIS,12/01/2021,24/09/2020,18700.0,COMPRA/SERVIÇOS,0
748,822020,399003,COMPANHIA DOCAS DO ESTADO DE SAO PAULO,-99,Pregão - Registro de Preço,337/20-14,Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica para fornecimento de materiais de consumo de telecomunicações.,Publicado,39000,Ministério da Infraestrutura,39000,Ministério da Infraestrutura - Unidades com v,SAO PAULO,14/01/2021,08/12/2020,0.0,COMPRA/SERVIÇOS,0
749,832020,925894,COMPANHIA DE SANEAMENTO MUNICIPAL,-99,Pregão - Registro de Preço,0832020,"Objeto: Pregão Eletrônico -  Implantação do Sistema de Registro de Preços, pelo prazo 12 (doze) meses, para eventual contratação de empresa especializada em Manutenção Corretiva em motores elétricos industriais com fornecimento de peças para a CESAMA.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,95120,ESTADO DE MINAS GERAIS,Inválido,15/01/2021,14/12/2020,7474680.2,COMPRA/SERVIÇOS,1
750,832020,150247,COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,-99,Pregão - Registro de Preço,23066021785/20-47,"Objeto: Pregão Eletrônico -  Registro de Preços - 83/2020 - para eventual aquisição de reagentes com comodato visando atender as necessidades do Hospital Ana Nery, unidade integrante do Complexo Hospitalar e de Saúde/UFBA. Informações gerais: Senhores licitantes, ocorrendo divergência entre a descrição do produto constante no código SIASG (CATMAT) e no Termo de Referência (Anexo I), prevalecerá a descrição deste último, a fim de tornar mais ágil a fase de habilitação.",Publicado,26000,Ministério da Educação,26232,Universidade Federal da Bahia,SALVADOR,04/01/2021,18/12/2020,132000.0,COMPRA/SERVIÇOS,0
751,832020,154047,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,-99,Pregão - Registro de Preço,23110027725202055,Objeto: Pregão Eletrônico -  Aquisição de consultórios odontológicos,Publicado,26000,Ministério da Educação,26278,Fundação Universidade Federal de Pelotas,PELOTAS,28/01/2021,23/11/2020,438000.0,COMPRA/SERVIÇOS,0
752,832020,179085,BANCO DO NORDESTE DO BRASIL S/A,-99,Pregão - Registro de Preço,2020/1054,"Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de cadeiras executivas, destinadas às diversas Unidades do Banco do Nordeste, em conformidade com as condições e especificações técnicas constantes do Edital e seus Anexos.",Publicado,25000,Ministério da Economia,25282,Banco do Nordeste do Brasil,FORTALEZA,07/01/2021,12/08/2020,0.0,COMPRA/SERVIÇOS,0
753,842020,160322,HOSPITAL CENTRAL DO EXERCITO,-99,Pregão - Registro de Preço,1042020,Objeto: Pregão Eletrônico -  Aquisição de material permanente específico para a Subdivisão de Enfermagem do HCE,Evento de Suspensão Publicado,52000,Ministério da Defesa,52121,Comando do Exército,RIO DE JANEIRO,19/01/2021,31/12/2020,51769.9,COMPRA/SERVIÇOS,0
754,852020,150247,COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,-99,Pregão - Registro de Preço,23066021792/20-49,"Objeto: Pregão Eletrônico -  Registro de Preços - 85/2020 - para eventual aquisição de REAGENTES  , visando atender as necessidades do Laboratório de Imunologia e Biologia Molecular (LABIMUNO) do Instituto de Ciências da Saúde, unidade integrante do Complexo Hospitalar e de Saúde/UFBA. Informações gerais: Senhores licitantes, ocorrendo divergência entre a descrição do produto constante no código SIASG (CATMAT) e no Termo de Referência (Anexo I), prevalecerá a descrição deste último.",Publicado,26000,Ministério da Educação,26232,Universidade Federal da Bahia,SALVADOR,06/01/2021,04/01/2021,0.0,COMPRA/SERVIÇOS,0
755,852020,153079,UNIVERSIDADE FEDERAL DO PARANA,-99,Pregão - Registro de Preço,23075027825202055,"Objeto: Pregão Eletrônico -  Aquisição de materiais de pintura para atender as necessidades da Superintendência de Infraestrutura, destinados aos campi e estruturas da Universidade Federal do Paraná em Curitiba e Região Metropolitana.",Evento de Resultado de Julgame,26000,Ministério da Educação,26241,Universidade Federal do Paraná,CURITIBA,21/01/2021,15/12/2020,3800.0,COMPRA/SERVIÇOS,0
756,852020,153114,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,-99,Pregão - Registro de Preço,230785149852018,Objeto: Pregão Eletrônico -  Contratação de serviços de Tradução e Revisão de Textos para a UFRGS.,Evento de Resultado de Julgame,26000,Ministério da Educação,26244,Universidade Federal do Rio Grande do Sul,PORTO ALEGRE,28/01/2021,04/01/2021,51900.0,COMPRA/SERVIÇOS,0
757,852020,154047,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,-99,Pregão - Registro de Preço,23110027499202011,"Objeto: Pregão Eletrônico -  Aquisição de pisos, laminados, porcelanatos, argamassas, rejuntes e outros materiais afins.",Evento de Alteração Publicado,26000,Ministério da Educação,26278,Fundação Universidade Federal de Pelotas,PELOTAS,13/01/2021,30/11/2020,0.0,COMPRA/SERVIÇOS,0
758,852020,154503,FUNDACAO UNIVERSIDADE FEDERAL DO ABC,-99,Pregão - Registro de Preço,23006003741202040,Objeto: Pregão Eletrônico -  Registro de preço para eventual aquisição de materiais de consumo (reagentes) para serem utilizados nas aulas práticas dos cursos de graduação da UFABC.,Evento de Resultado de Julgame,26000,Ministério da Educação,26352,Fundação Universidade Federal do ABC,SANTO ANDRE,05/01/2021,11/11/2020,4468.0,COMPRA/SERVIÇOS,0
759,862020,925550,SECRETARIA DE ESTADO DA SAÚDE PÚBLICA,-99,Pregão - Registro de Preço,00610407.000055/2,"Objeto: Pregão Eletrônico -  Registro de Preços para futura aquisição de MEDICAMENTOS   ANTIMICROBIANOS ALTO CUSTO  a fim de abastecer a rede Hospitalar do Estado do Rio Grande do Norte, pelo período de 12 meses, conforme condições, quantidades e exigências estabelecidas neste Edital.",Evento de Reabertura de Prazo ,99900,REPUBLICA FEDERATIVA DO BRASIL,94420,ESTADO DO RIO GRANDE DO NORTE,Inválido,22/01/2021,10/12/2020,460800.0,COMPRA/SERVIÇOS,0
760,862020,925814,TRIBUNAL DE JUSTIÇA DO ESTADO DE TOCANTINS,-99,Pregão - Registro de Preço,20000019661-5,Objeto: Pregão Eletrônico -  Contratação de empresa especializada para fornecimento de arranjos decorativos de flores naturais,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93720,ESTADO DE TOCANTINS,Inválido,18/01/2021,26/11/2020,4566.0,COMPRA/SERVIÇOS,0
761,862020,120629,BASE AEREA DE CANOAS,-99,Pregão - Registro de Preço,67278034818202007,"Objeto: Pregão Eletrônico -  Registro de preços para aquisição de Materiais de Consumo para Seção de Urologia (SURO), conforme Anexo A deste Termo de Referência, em proveito do Hospital de Aeronáutica de Canoas (HACO), conforme condições, quantidades, exigências e estimativas,  estabelecidas no instrumento.",Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,CANOAS,21/01/2021,09/12/2020,0.0,COMPRA/SERVIÇOS,0
762,862020,150247,COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,-99,Pregão - Registro de Preço,23066023387/20-65,"Objeto: Pregão Eletrônico -  Registro de Preços - 86/2020 - para eventual aquisição de Órtese, Prótese E Material Especial   OPME para atender as necessidades do Hospital Ana Nery, unidade integrante do Complexo Hospitalar e de Saúde/UFBA. Informações gerais: Senhores licitantes, ocorrendo divergência entre a descrição do produto constante no código SIASG (CATMAT) e no Termo de Referência (Anexo I), prevalecerá a descrição deste último, a fim de tornar mais ágil a fase de habilitação.",Publicado,26000,Ministério da Educação,26232,Universidade Federal da Bahia,SALVADOR,26/01/2021,06/01/2021,0.0,COMPRA/SERVIÇOS,0
763,862020,170394,FCDF±SSP±CORPO BOMBEIRO MILITAR DO DF,-99,Pregão - Registro de Preço,53-87437/2020-31,"Objeto: Pregão Eletrônico -  Registro de Preço para aquisição de oxímetro de pulso para o serviço operacional de Atendimento à Emergência Pré-Hospitalar do CBMDF, conforme especificações, quantitativos e condições estabelecidos NO Termo de Referência.",Divulgado,25000,Ministério da Economia,25915,Fundo Constitucional do Distrito Federal,BRASILIA,21/01/2021,11/01/2021,181900.0,COMPRA/SERVIÇOS,0
764,872020,120636,GRUPAMENTO DE APOIO DE LAGOA SANTA,-99,Pregão - Registro de Preço,67532.001371/2019,Objeto: Pregão Eletrônico -  Aquisição de Material Médico hospitalar,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,LAGOA SANTA,21/01/2021,17/12/2020,0.0,COMPRA/SERVIÇOS,0
765,872020,153114,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,-99,Pregão - Registro de Preço,230785323282044,"Objeto: Pregão Eletrônico -  Registro de preços para aquisição de extintores de incêndio portáteis e a contratação de empresa para prestação de serviços de manutenção (2º nível e 3º nível) de extintores, com fornecimento de materiais,",Evento de Resultado de Julgame,26000,Ministério da Educação,26244,Universidade Federal do Rio Grande do Sul,PORTO ALEGRE,21/01/2021,12/01/2021,10485.0,COMPRA/SERVIÇOS,0
766,872020,155009,HOSPITAL UNIVERSITARIO DE BRASILIA,-99,Pregão - Registro de Preço,23522022432202030,"Objeto: Pregão Eletrônico -  Aquisição de Equipamentos de Proteção Individual (EPI S) e Insumos para o enfrentamento da Covid-19 no Hospital Universitário De Brasília   HUB, referente ao Pregão 087/2020.",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,BRASILIA,18/01/2021,06/11/2020,64000.0,COMPRA/SERVIÇOS,0
767,872020,155125,HOSPITAL UNIVERSITARIO DE SANTA MARIA,-99,Pregão - Registro de Preço,23541001050202044,"Objeto: Pregão Eletrônico -  Aquisição eventual e parcelada de filtros para respirador, luvas, máscara tripla camada, aspirador para rede de ar à vácuo, frasco para armazenamento de material biológico, ataduras dentre outros materiais necessários para o HUSM.",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SANTA MARIA,26/01/2021,19/10/2020,0.0,COMPRA/SERVIÇOS,0
768,882020,154047,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,-99,Pregão - Registro de Preço,23110027632202021,Objeto: Pregão Eletrônico -  Aquisição de material de consumo para Faculdade de Odontologia.,Publicado,26000,Ministério da Educação,26278,Fundação Universidade Federal de Pelotas,PELOTAS,13/01/2021,08/12/2020,0.0,COMPRA/SERVIÇOS,0
769,892020,150182,PRO-REITORIA DE ADMINISTRACAO/UFF,-99,Pregão - Registro de Preço,23069159989202094,"Objeto: Pregão Eletrônico -  Aquisição de Cartuchos para atender a Universidade Federal Fluminense, por meio da Pró-Reitoria de Administração (PROAD), em Niterói   RJ",Evento de Resultado de Julgame,26000,Ministério da Educação,26236,Universidade Federal Fluminense,NITEROI,07/01/2021,30/11/2020,9010.0,COMPRA/SERVIÇOS,0
770,892020,150247,COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,-99,Pregão - Registro de Preço,23066024320/20-48,"Objeto: Pregão Eletrônico -  Registro de Preços - 89/2020 - para eventual aquisição de medicamentos visando atender as necessidades do Hospital Ana Nery, unidade integrante do Complexo Hospitalar e de Saúde/UFBA. Informações gerais: Senhores licitantes, ocorrendo divergência entre a descrição do produto constante no código SIASG (CATMAT) e no Termo de Referência (Anexo I), prevalecerá a descrição deste último, a fim de tornar mais ágil a fase de habilitação.",Publicado,26000,Ministério da Educação,26232,Universidade Federal da Bahia,SALVADOR,20/01/2021,04/01/2021,0.0,COMPRA/SERVIÇOS,0
771,892020,154047,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,-99,Pregão - Registro de Preço,23110027626202073,Objeto: Pregão Eletrônico -  Aquisição de equipamentos para Faculdade de Odontologia,Publicado,26000,Ministério da Educação,26278,Fundação Universidade Federal de Pelotas,PELOTAS,15/01/2021,08/12/2020,402.7,COMPRA/SERVIÇOS,0
772,892020,155009,HOSPITAL UNIVERSITARIO DE BRASILIA,-99,Pregão - Registro de Preço,23522022197202004,"Objeto: Pregão Eletrônico -  Aquisição de Medicamentos de Uso Geral para o Hospital Universitário de Brasília   HUB, Referente ao Pregão 089/2020.",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,BRASILIA,26/01/2021,14/01/2021,579.6,COMPRA/SERVIÇOS,0
773,892020,155010,HOSPITAL UNIVERSITARIO DA UFMA,-99,Pregão - Registro de Preço,23523024081202091,"Objeto: Pregão Eletrônico -  Aquisição de material de consumo tipo (Acetona PA, Agar Batata, Agar Muller Hinton, SWAB, Alça calibrada e outros), nas especificações e quantidades constantes no item 3, consumo previsto para 12 (doze) meses.",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SAO LUIS,08/01/2021,04/11/2020,750.0,COMPRA/SERVIÇOS,0
774,892020,155019,HOSPITAL UNIVERSITARIO JULIO MULLER,-99,Pregão - Registro de Preço,23532004050/20-13,"Objeto: Pregão Eletrônico -  Implantação de Registro de Preços para aquisições futuras e eventuais Materiais de cama, de uso hospitalar e comum;",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,CUIABA,28/01/2021,21/01/2021,1358.0,COMPRA/SERVIÇOS,0
775,902020,112408,HOSPITAL DAS FORCAS ARMADAS,-99,Pregão - Registro de Preço,60550036786/2020-,"Objeto: Pregão Eletrônico -  Registro de preço para aquisição emergencial de teste rápido qualitativo em amostras de swab nasofaringe e ou orofaringe para detecção de antígenos do SARS-COV2, a ser utilizado no enfrentamento ao COVID-19, no Hospital das Forças Armadas - HFA. (Processo 60550.036786/2020-51)",Evento de Resultado de Julgame,52000,Ministério da Defesa,52000,Ministério da Defesa - Unidades com vínculo d,BRASILIA,19/01/2021,04/01/2021,499500.0,COMPRA/SERVIÇOS,0
